conflict,title,source,url,publish_date,population
Ukraine,Sean Penn gifted 'Iron Oscar' made of war-damaged train in Ukraine,usatoday.com,https://www.usatoday.com/story/entertainment/movies/oscars/2026/03/18/sean-penn-iron-oscar-ukraine/89208156007/,2026-03-18,white
Ukraine,German general says oil price surge will be no game changer for Russia in Ukraine war,reuters.com,https://www.reuters.com/business/energy/german-general-says-oil-price-surge-will-be-no-game-changer-russia-ukraine-war-2026-03-18/,2026-03-18,white
Ukraine,"Army general left classified maps of Ukraine war on train, watchdog finds",cbsnews.com,https://www.cbsnews.com/news/major-general-antonio-aguto-ukraine-classified-maps-watchdog-report/,2026-03-17,white
Ukraine,Ukraine strings nets over cities as killer drones turn streets into war zones,npr.org,https://www.npr.org/2026/03/17/nx-s1-5743446/russia-ukraine-war-nets-drones,2026-03-17,white
Ukraine,Russia's invasion of Ukraine: Four years of devastation captured in photos,reuters.com,https://www.reuters.com/pictures/russias-invasion-ukraine-four-years-devastation-captured-photos-2026-02-23/,2026-02-23,white
Ukraine,‘Mr. Nobody Against Putin’ wins best documentary feature Oscar for teacher who opposed Ukraine war,apnews.com,https://apnews.com/article/best-documentary-2026-oscars-bf4320316a8e98285debfd6c2ce8b551,2026-03-16,white
Ukraine,"EU to impose sanctions on nine people for alleged war crimes in Ukraine, says French minister",reuters.com,https://www.reuters.com/world/eu-impose-sanctions-nine-people-alleged-war-crimes-ukraine-says-french-minister-2026-03-16/,2026-03-16,white
Ukraine,Ukraine worries about ‘losing the Americans’ as global attention shifts to the war in the Middle East,cnn.com,https://www.cnn.com/2026/03/15/europe/ukraine-zelensky-global-attention-middle-east-intl,2026-03-15,white
Ukraine,EU extends sanctions against people over Russia's war against Ukraine,reuters.com,https://www.reuters.com/world/eu-extends-sanctions-against-people-over-russias-war-against-ukraine-2026-03-14/,2026-03-14,white
Ukraine,Four killed in Russian air attack on Ukraine,reuters.com,https://www.reuters.com/world/four-killed-russian-air-attack-kyiv-region-officials-say-2026-03-14/,2026-03-14,white
Ukraine,Ukraine and allies fear easing Russian sanctions will prolong war,bbc.com,https://www.bbc.com/news/articles/c1d6l67122wo?at_medium=RSS&at_campaign=rss,2026-03-13,white
Ukraine,Ukraine and allies fear easing Russian sanctions will prolong war,bbc.com,https://www.bbc.com/news/articles/c1d6l67122wo,2026-03-13,white
Ukraine,Zelenskiy heads to France as Iran war distracts from Ukraine,reuters.com,https://www.reuters.com/business/aerospace-defense/zelenskiy-heads-france-iran-war-distracts-ukraine-2026-03-13/,2026-03-13,white
Ukraine,War in Ukraine spills into Hungarian election,bbc.com,https://www.bbc.com/news/articles/crm8rxwyyz8o,2026-03-12,white
Ukraine,"Russia's February oil and fuel exports lowest since start of Ukraine war, IEA says",reuters.com,https://www.reuters.com/business/energy/russias-oil-fuel-exports-revenue-hit-lowest-since-start-ukraine-conflict-iea-2026-03-12/,2026-03-12,white
Ukraine,War in Ukraine spills into Hungarian election,bbc.com,https://www.bbc.com/news/articles/crm8rxwyyz8o?at_medium=RSS&at_campaign=rss,2026-03-12,white
Ukraine,"Russia accuses Ukraine, Britain of 'terrorist attack' on border city",reuters.com,https://www.reuters.com/world/russia-accuses-ukraine-britain-terrorist-attack-border-city-2026-03-11/,2026-03-11,white
